address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
1021 12th St APT 107,Santa Monica,CA,90403,698000,804.0,1.0,1.0,1.0,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1021-12th-St-APT-107-Santa-Monica-CA-90403/20478727_zpid/
913 18th St APT 4,Santa Monica,CA,90403,1099000,1425.0,2.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/913-18th-St-APT-4-Santa-Monica-CA-90403/20475136_zpid/
270 Palisades Beach Rd UNIT 301,Santa Monica,CA,90402,2999000,1590.0,2.0,2.0,NA,Coming Soon,http://www.zillow.com/homes/for_sale//homedetails/270-Palisades-Beach-Rd-UNIT-301-Santa-Monica-CA-90402/20486912_zpid/
808 5th St APT 7,Santa Monica,CA,90403,680000,980.0,2.0,2.0,2,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/808-5th-St-APT-7-Santa-Monica-CA-90403/2094307910_zpid/
1919 4th St # A,Santa Monica,CA,90405,2200000,2111.0,3.0,3.0,1,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/1919-4th-St-A-Santa-Monica-CA-90405/2097316419_zpid/
1138 12th St APT 5,Santa Monica,CA,90403,849000,1045.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1138-12th-St-APT-5-Santa-Monica-CA-90403/20478785_zpid/
1319 11th St APT 6,Santa Monica,CA,90401,549000,558.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1319-11th-St-APT-6-Santa-Monica-CA-90401/20479668_zpid/
444 21st St,Santa Monica,CA,90402,7895000,7311.0,6.0,8.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/444-21st-St-Santa-Monica-CA-90402/20476513_zpid/
1035 25th St,Santa Monica,CA,90403,2329000,1501.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1035-25th-St-Santa-Monica-CA-90403/20475429_zpid/
1307 Berkeley St,Santa Monica,CA,90404,2695000,2603.0,5.0,4.0,1,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1307-Berkeley-St-Santa-Monica-CA-90404/20470335_zpid/
933 20th St UNIT B,Santa Monica,CA,90403,1049000,1227.0,3.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/933-20th-St-UNIT-B-Santa-Monica-CA-90403/20475248_zpid/
2nd St APT 201,Santa Monica,CA,90403,NA,971.0,2.0,2.0,10,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/129611562_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
722 Marine St,Santa Monica,CA,90405,2795000,2463.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/722-Marine-St-Santa-Monica-CA-90405/20483309_zpid/
933 11th St APT 15,Santa Monica,CA,90403,819000,1018.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/933-11th-St-APT-15-Santa-Monica-CA-90403/20478857_zpid/
3110 Broadway,Santa Monica,CA,90404,489000,NA,1.0,1.0,7,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/3110-Broadway-Santa-Monica-CA-90404/82816526_zpid/
1433 Euclid St,Santa Monica,CA,90404,9300000,14698.0,26.0,24.0,3,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1433-Euclid-St-Santa-Monica-CA-90404/2097803579_zpid/
1837 Euclid St,Santa Monica,CA,90404,2225000,3901.0,0.0,NA,3,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1837-Euclid-St-Santa-Monica-CA-90404/2094325481_zpid/
1130 Georgina Ave,Santa Monica,CA,90402,6495000,2325.0,3.0,2.0,7,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1130-Georgina-Ave-Santa-Monica-CA-90402/20477549_zpid/
1240 24th St UNIT 3,Santa Monica,CA,90404,1299000,1803.0,3.0,3.0,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1240-24th-St-UNIT-3-Santa-Monica-CA-90404/20474535_zpid/
